NZ_CP042858.1	gb|EU370913.1|+|47850-51003|ARO:3003923|oqxB	98.446	3153	49	0	1170169	1173321	3153	1	0.0	5552
NZ_CP042858.1	gb|CP007727.1|-|807206-809555|ARO:3005059|LptD	99.617	2349	9	0	4399026	4401374	1	2349	0.0	4289
NZ_CP042858.1	gb|FO203501.1|+|5123640-5125365|ARO:3005047|eptB	99.710	1725	5	0	229201	230925	1	1725	0.0	3158
NZ_CP042858.1	gb|FO834906.1|+|304977-306633|ARO:3005053|ArnT	99.577	1656	7	0	309626	311281	1	1656	0.0	3020
NZ_CP042858.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	83.972	3157	485	18	3979289	3982433	1	3148	0.0	3007
NZ_CP042858.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	77.320	582	119	8	1382842	1383415	1555	979	3.76e-87	331
NZ_CP042858.1	gb|U00096.3|-|481253-484403|ARO:3000216|acrB	77.101	476	99	10	70790	71260	1463	993	1.08e-67	267
NZ_CP042858.1	gb|CP133868.1|-|5051597-5053037|ARO:3007682|MdtQ	99.653	1440	5	0	1643257	1644696	1	1440	0.0	2632
NZ_CP042858.1	gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	81.827	3054	549	6	1696914	1699964	3051	1	0.0	2560
NZ_CP042858.1	gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	81.476	3131	564	15	1699965	1703087	3123	1	0.0	2555
NZ_CP042858.1	gb|AY522923.1|-|7744-8983|ARO:3003839|Mrx	100.000	1239	0	0	4619188	4620426	1	1239	0.0	2289
NZ_CP042858.1	gb|AY522923.1|-|7744-8983|ARO:3003839|Mrx	100.000	1239	0	0	4637645	4638883	1	1239	0.0	2289
NZ_CP042858.1	gb|AY522923.1|-|7744-8983|ARO:3003839|Mrx	99.919	1240	0	1	4862827	4864066	1	1239	0.0	2283
NZ_CP042858.1	gb|AY522923.1|-|7744-8983|ARO:3003839|Mrx	99.919	1239	0	1	4841371	4842608	1	1239	0.0	2281
NZ_CP042858.1	gb|AF231986.2|+|3307-4522|ARO:3002705|floR	99.918	1215	1	0	5006081	5007295	1215	1	0.0	2239
NZ_CP042858.1	gb|AF231986.2|+|3307-4522|ARO:3002705|floR	99.753	1215	3	0	4536802	4538016	1215	1	0.0	2228
NZ_CP042858.1	gb|AY043299.1|-|3984-5175|ARO:3000167|tet(C)	99.748	1191	3	0	4558081	4559271	1	1191	0.0	2183
NZ_CP042858.1	gb|AY183453.1|+|2729-3950|ARO:3000361|EreA	98.690	1221	16	0	4512956	4514176	1221	1	0.0	2167
NZ_CP042858.1	gb|ACWO01000051.1|+|22092-23265|ARO:3004588|Kpne_KpnG	99.233	1173	9	0	1128274	1129446	1173	1	0.0	2117
NZ_CP042858.1	gb|EU370913.1|+|46651-47827|ARO:3003922|oqxA	99.150	1176	10	0	1173345	1174520	1176	1	0.0	2117
NZ_CP042858.1	gb|FO834906.1|-|2173974-2175099|ARO:3005044|OmpA	99.911	1125	1	0	3279237	3280361	1	1125	0.0	2073
NZ_CP042858.1	gb|AJ318073.1|+|793-1990|ARO:3004041|Kpne_acrA	97.828	1197	23	2	3978073	3979266	1	1197	0.0	2063
